"","output_prefix","name","motif_id","cluster","total_tfbs","CD8_Good_mean_score","CD8_Good_bound","CD8_Poor_mean_score","CD8_Poor_bound","CD8_Good_CD8_Poor_change","CD8_Good_CD8_Poor_pvalue","CD8_Good_CD8_Poor_highlighted","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"349","FOXO1FLI1_MA1956.2","FOXO1::FLI1","MA1956.2","C_FOXO1::ELK1",15157,0.50903,613,0.58471,716,0.03929,3.32415e-73,"False","Not Significant",72.4783193872037,5,"Capped"
"350","FOXP1_MA0481.4","FOXP1","MA0481.4","C_FKH1",8151,0.41814,241,0.50837,276,-0.00143,0.9376,"False","Not Significant",0.0279824013259846,0.0279824013259846,"Not Capped"
"351","FOXP2_MA0593.2","FOXP2","MA0593.2","C_FKH1",20280,0.41349,432,0.47901,494,0.04528,2.25866e-78,"False","Not Significant",77.6461491392598,5,"Capped"
"352","GABPA_MA0062.4","GABPA","MA0062.4","C_Erg",21089,0.66627,1688,0.78093,1976,-0.01503,1.64265e-37,"False","Not Significant",36.7844549619826,5,"Capped"
"353","GATA1_MA0035.5","GATA1","MA0035.5","C_GLN3",5902,0.38656,121,0.48899,142,-0.01966,8.09944e-25,"False","Not Significant",24.0915450074568,5,"Capped"
"354","GATA1TAL1_MA0140.3","GATA1::TAL1","MA0140.3","C_GATA1::TAL1",7994,0.44641,236,0.49281,223,0.07592,4.757e-82,"False","Up_CD8_Good",81.3226668485801,5,"Capped"
"355","GATA2_MA0036.4","GATA2","MA0036.4","C_grn",5904,0.39295,116,0.47445,140,0.01743,6.41953e-26,"False","Not Significant",25.1924967672393,5,"Capped"
"356","GATA4_MA0482.3","GATA4","MA0482.3","C_grn",6835,0.38766,131,0.47614,146,0.00237,0.155021,"False","Not Significant",0.809609465917729,0.809609465917729,"Not Capped"
"357","GATA5_MA0766.3","GATA5","MA0766.3","C_grn",5335,0.39995,123,0.4857,132,0.00854,1.83639e-10,"False","Not Significant",9.73603508083558,5,"Capped"
"358","GATA6_MA1104.3","GATA6","MA1104.3","C_GLN3",8376,0.36649,126,0.44229,147,0.02626,2.24483e-45,"False","Not Significant",44.6488165423477,5,"Capped"
"359","GBX1_MA0889.2","GBX1","MA0889.2","C_Dr",4417,0.41109,136,0.46875,157,0.06366,2.50832e-68,"False","Up_CD8_Good",67.600617059002,5,"Capped"
"360","GBX2_MA0890.2","GBX2","MA0890.2","C_B-H2",9415,0.3901,220,0.43357,242,0.08861,4.36082e-99,"False","Up_CD8_Good",98.3604318391739,5,"Capped"
"361","GCM1_MA0646.2","GCM1","MA0646.2","C_GCM1",4117,0.62313,244,0.76302,290,-0.05107,7.7679e-50,"False","Not Significant",49.1096963739507,5,"Capped"
"362","SOX2_MA0143.5","SOX2","MA0143.5","C_Sox7",4732,0.49263,177,0.54784,183,0.06206,4.37253e-69,"False","Up_CD8_Good",68.3592672021375,5,"Capped"
"363","GCM2_MA0767.2","GCM2","MA0767.2","C_GCM2",3327,0.66431,222,0.80387,261,-0.04769,2.85432e-45,"False","Not Significant",44.5444973394051,5,"Capped"
"364","GFI1_MA0038.3","GFI1","MA0038.3","C_GFI1",11070,0.46964,470,0.53997,526,0.03395,3.3954e-57,"False","Not Significant",56.469109055681,5,"Capped"
"365","GLI3_MA1491.3","GLI3","MA1491.3","C_GLI3",6694,0.64784,451,0.79868,536,-0.06576,2.94157e-79,"True","Up_CD8_Poor",78.5314208123277,5,"Capped"
"366","GLIS1_MA0735.2","GLIS1","MA0735.2","C_GLIS3",4228,0.78795,403,0.93853,507,-0.05377,2.2638e-59,"False","Up_CD8_Poor",58.6451619444154,5,"Capped"
"367","GRHL1_MA0647.2","GRHL1","MA0647.2","C_GRHL1",3232,0.45773,102,0.55063,106,-0.00335,0.00190821,"False","Not Significant",2.71937383255509,2.71937383255509,"Not Capped"
"368","GRHL2_MA1105.3","GRHL2","MA1105.3","C_GRHL2",7547,0.47287,248,0.5718,282,-0.00693,1.6948e-10,"False","Not Significant",9.77088154467105,5,"Capped"
"369","GSC_MA0648.2","GSC","MA0648.2","C_unc-30",16969,0.42444,443,0.48176,425,0.04511,4.50601e-80,"False","Not Significant",79.3462078487995,5,"Capped"
"370","GSC2_MA0891.2","GSC2","MA0891.2","C_unc-30",16969,0.42444,443,0.48176,425,0.04511,4.50601e-80,"False","Not Significant",79.3462078487995,5,"Capped"
"371","GSX1_MA0892.2","GSX1","MA0892.2","C_otp",5499,0.34207,52,0.38696,64,0.08463,6.18798e-78,"False","Up_CD8_Good",77.2084510986417,5,"Capped"
"372","GSX2_MA0893.3","GSX2","MA0893.3","C_otp",3662,0.35881,43,0.41429,52,0.06466,3.29791e-56,"False","Up_CD8_Good",55.4817612004309,5,"Capped"
"373","TCF3_MA0522.4","TCF3","MA0522.4","C_ZEB1",12946,0.62009,722,0.76002,860,-0.05277,4.39239e-75,"False","Up_CD8_Poor",74.3572991058694,5,"Capped"
"374","HAND2_MA1638.2","HAND2","MA1638.2","C_lin-32",25109,0.45821,674,0.56672,817,-0.02109,3.41788e-55,"False","Not Significant",54.4662431892024,5,"Capped"
"375","HES1_MA1099.3","HES1","MA1099.3","C_HES1",3861,1.16235,990,1.28685,1097,-0.00936,9.77949e-12,"False","Not Significant",11.0096837930612,5,"Capped"
"376","HES2_MA0616.3","HES2","MA0616.3","C_BHLHE40",3624,0.93112,585,1.05246,684,-0.0071,8.04135e-06,"False","Not Significant",5.09467103479218,5,"Capped"
"377","HESX1_MA0894.2","HESX1","MA0894.2","C_otp",5499,0.34207,52,0.38696,64,0.08463,6.18798e-78,"False","Up_CD8_Good",77.2084510986417,5,"Capped"
"378","HEY2_MA0649.2","HEY2","MA0649.2","C_BHLHE40",3196,0.84003,418,0.95713,490,-0.0027,0.910361,"False","Not Significant",0.0407863557903828,0.0407863557903828,"Not Capped"
"379","HIC2_MA0738.2","HIC2","MA0738.2","C_HIC2",18198,0.52203,755,0.64028,890,-0.03394,1.74061e-68,"False","Not Significant",67.7592985257359,5,"Capped"
"380","HIF1A_MA1106.2","HIF1A","MA1106.2","C_ARNT::HIF1A",7156,0.85299,945,0.97147,1080,0.00174,0.856957,"False","Not Significant",0.0670409693617941,0.0670409693617941,"Not Capped"
"381","HINFP_MA0131.3","HINFP","MA0131.3","C_HINFP",4378,1.06193,684,1.21881,826,-0.04331,8.05644e-51,"False","Not Significant",50.0938568229468,5,"Capped"
"382","HLF_MA0043.4","HLF","MA0043.4","C_NFIL3",6418,0.43118,174,0.48274,200,0.06256,8.75742e-74,"False","Up_CD8_Good",73.0576238213203,5,"Capped"
"383","HMBOX1_MA0895.2","HMBOX1","MA0895.2","C_HMBOX1",3670,0.39433,82,0.45899,91,0.046,2.37277e-45,"False","Not Significant",44.6247443572618,5,"Capped"
"384","HNF1A_MA0046.3","HNF1A","MA0046.3","C_HNF1A",9505,0.34129,99,0.37698,107,0.09601,4.46477e-95,"False","Up_CD8_Good",94.3502009086239,5,"Capped"
"385","HNF4A_MA1494.2","HNF4A","MA1494.2","C_HNF4A",6825,0.51465,272,0.60974,303,0.00613,6.58295e-07,"False","Not Significant",6.18157944352657,5,"Capped"
"386","HNF4A_MA0114.5","HNF4A","MA0114.5","C_HNF4G",10262,0.44416,265,0.54436,309,-0.01379,1.0401e-25,"False","Not Significant",24.9829249036239,5,"Capped"
